GDPC1,CPIAUCSL,UNRATE,FEDFUNDS,CIVPART,INDPRO,TOTALSA,DSPIC96,PCE,DGS10,CPALTT01USM657N
15456.059,217.488,9.8,0.11,64.8,89.1936,10.893,11644.6,10056.1,3.63,0.34174735701485
,217.281,9.8,0.13,64.9,89.5089,10.315,11655.6,10093.4,3.61,0.024920738207648
,217.353,9.9,0.16,64.9,90.1449,11.772,11702.1,10156.0,3.84,0.410628353657108
15605.628,217.403,9.9,0.2,65.2,90.474,11.454,11799.8,10182.3,3.69,0.173688491069743
,217.29,9.6,0.2,64.9,91.7131,12.03,11887.9,10210.8,3.31,0.0775197354237721
,217.199,9.4,0.18,64.6,91.9287,11.598,11895.0,10231.3,2.97,-0.0976267084673888
15726.282,217.605,9.4,0.18,64.6,92.2737,11.948,11910.8,10268.1,2.94,0.0211043057371509
,217.923,9.5,0.19,64.7,92.615,12.014,11949.7,10307.1,2.47,0.138066427840807
,218.275,9.5,0.19,64.6,92.8668,11.922,11949.4,10327.1,2.53,0.0581736230715569
15807.995,219.035,9.4,0.19,64.4,92.6138,12.414,11950.4,10386.4,2.63,0.124519888847696
,219.59,9.8,0.19,64.6,92.6772,12.3,11960.5,10433.6,2.81,0.0420646423819507
,220.472,9.3,0.18,64.3,93.5741,12.605,12030.1,10471.0,3.3,0.171844078920309
15769.911,221.187,9.1,0.17,64.2,93.3793,12.806,12084.4,10514.3,3.42,0.476323005397414
,221.898,9.0,0.16,64.1,93.0051,13.081,12117.0,10540.6,3.42,0.493136502545162
,223.046,9.0,0.14,64.2,93.978,13.259,12083.3,10619.7,3.47,0.975107203050938
15876.839,224.093,9.1,0.1,64.2,93.6525,13.326,12061.3,10652.1,3.32,0.643942953545699
,224.806,9.0,0.09,64.1,93.7878,12.28,12043.2,10672.2,3.05,0.470418752723364
,224.806,9.1,0.09,64.0,94.0378,11.886,12087.9,10694.8,3.18,-0.107096705669922
15870.684,225.395,9.0,0.07,64.0,94.5146,12.72,12128.6,10731.6,2.82,0.0886045666793554
,226.106,9.0,0.1,64.1,95.1263,12.604,12120.6,10750.3,2.23,0.27575889023645
,226.597,9.0,0.08,64.2,95.0732,13.356,12104.0,10783.2,1.92,0.151846211569461
16048.702,226.75,8.8,0.07,64.1,95.7291,13.73,12117.0,10802.9,2.17,-0.206268263335836
,227.169,8.6,0.08,64.1,95.7455,13.743,12112.6,10806.8,2.08,-0.084356133044206
,227.223,8.5,0.07,64.0,96.2147,13.798,12227.3,10817.8,1.89,-0.246651637713817
16179.968,227.842,8.3,0.08,63.7,96.8051,14.395,12311.1,10896.8,1.83,0.440019142826751
,228.329,8.3,0.1,63.8,97.1033,14.975,12384.8,10987.2,1.98,0.440297355127631
,228.807,8.2,0.13,63.8,96.5973,14.594,12431.1,10993.9,2.23,0.759455862393086
16253.726,229.187,8.2,0.14,63.7,97.3006,14.769,12486.5,11018.5,1.95,0.302102950408034
,228.713,8.2,0.16,63.7,97.5046,14.496,12490.2,11006.8,1.59,-0.117347936632105
,228.524,8.2,0.16,63.8,97.4903,14.467,12482.6,10989.8,1.67,-0.146639688445049
16282.151,228.59,8.2,0.16,63.7,97.7234,14.38,12396.5,11016.8,1.51,-0.162978586182561
,229.918,8.1,0.13,63.5,97.313,14.444,12364.4,11056.0,1.57,0.556515818143709
,231.015,7.8,0.14,63.6,97.2405,15.099,12453.3,11105.3,1.65,0.446221226761131
16300.035,231.638,7.8,0.16,63.8,97.561,14.83,12538.2,11137.4,1.72,-0.0388925140553232
,231.249,7.7,0.16,63.6,97.9589,15.456,12702.9,11178.4,1.62,-0.473808669488188
,231.221,7.9,0.16,63.7,98.2061,15.462,13011.6,11181.2,1.78,-0.269306449020735
16441.485,231.679,8.0,0.14,63.7,98.199,15.813,12258.9,11245.8,2.02,0.295730419292604
,232.937,7.7,0.15,63.4,98.6835,15.861,12224.9,11282.1,1.89,0.819002952926876
,232.282,7.5,0.14,63.3,99.0994,15.721,12262.1,11268.9,1.87,0.261450858437495
16464.402,231.797,7.6,0.15,63.4,98.9898,15.811,12299.0,11259.3,1.7,-0.103963947708716
,231.893,7.5,0.11,63.4,99.0782,15.884,12358.6,11295.1,2.16,0.178040777358723
