DATE,GDPC1,UNRATE,CPIAUCSL,PAYEMS,PCE,FEDFUNDS,INDPRO,HOUST,SP500,WILL5000INDFC,CPILFESL
2010-02-28,,9.8,217.281,129700.0,10093.4,0.13,89.5089,604.0,,43.9,220.731
2010-03-31,,9.9,217.353,129864.0,10156.0,0.16,90.1449,636.0,,46.67,220.783
2010-04-30,15605.628,9.9,217.403,130115.0,10182.3,0.2,90.474,687.0,,47.7,220.822
2010-05-31,,9.6,217.29,130645.0,10210.8,0.2,91.7131,583.0,,43.92,220.962
2010-06-30,,9.4,217.199,130501.0,10231.3,0.18,91.9287,536.0,,41.52,221.194
2010-07-31,15726.282,9.4,217.605,130420.0,10268.1,0.18,92.2737,546.0,,44.45,221.363
2010-08-31,,9.5,217.923,130424.0,10307.1,0.19,92.615,599.0,,42.37,221.509
2010-09-30,,9.5,218.275,130339.0,10327.1,0.19,92.8668,594.0,,46.37,221.711
2010-10-31,15807.995,9.4,219.035,130620.0,10386.4,0.19,92.6138,543.0,,48.23,221.83
2010-11-30,,9.8,219.59,130754.0,10433.6,0.19,92.6772,545.0,,48.53,222.149
2010-12-31,,9.3,220.472,130835.0,10471.0,0.18,93.5741,539.0,,51.77,222.343
2011-01-31,15769.911,9.1,221.187,130842.0,10514.3,0.17,93.3793,630.0,,52.82,222.803
2011-02-28,,9.0,221.898,131052.0,10540.6,0.16,93.0051,517.0,,54.69,223.213
2011-03-31,,9.0,223.046,131277.0,10619.7,0.14,93.978,600.0,,54.88,223.454
2011-04-30,15876.839,9.1,224.093,131604.0,10652.1,0.1,93.6525,554.0,,56.47,223.727
2011-05-31,,9.0,224.806,131704.0,10672.2,0.09,93.7878,561.0,,55.77,224.175
2011-06-30,,9.1,224.806,131936.0,10694.8,0.09,94.0378,608.0,,54.82,224.697
2011-07-31,15870.684,9.0,225.395,131991.0,10731.6,0.07,94.5146,623.0,,53.61,225.218
2011-08-31,,9.0,226.106,132124.0,10750.3,0.1,95.1263,585.0,,50.42,225.862
2011-09-30,,9.0,226.597,132345.0,10783.2,0.08,95.0732,650.0,,46.52,226.118
2011-10-31,16048.702,8.8,226.75,132557.0,10802.9,0.07,95.7291,610.0,,51.88,226.506
2011-11-30,,8.6,227.169,132701.0,10806.8,0.08,95.7455,711.0,,51.64,226.899
2011-12-31,,8.5,227.223,132901.0,10817.8,0.07,96.2147,694.0,,52.08,227.405
2012-01-31,16179.968,8.3,227.842,133246.0,10896.8,0.08,96.8051,723.0,,54.7,227.877
2012-02-29,,8.3,228.329,133518.0,10987.2,0.1,97.1033,704.0,,57.05,228.034
2012-03-31,,8.2,228.807,133744.0,10993.9,0.13,96.5973,695.0,,58.73,228.478
2012-04-30,16253.726,8.2,229.187,133827.0,11018.5,0.14,97.3006,753.0,,58.34,228.905
2012-05-31,,8.2,228.713,133935.0,11006.8,0.16,97.5046,708.0,,54.71,229.224
2012-06-30,,8.2,228.524,134007.0,10989.8,0.16,97.4903,757.0,,56.86,229.623
2012-07-31,16282.151,8.2,228.59,134153.0,11016.8,0.16,97.7234,740.0,,57.37,229.97
2012-08-31,,8.1,229.918,134330.0,11056.0,0.13,97.313,754.0,,58.76,230.233
2012-09-30,,7.8,231.015,134512.0,11105.3,0.14,97.2405,847.0,,60.31,230.659
2012-10-31,16300.035,7.8,231.638,134671.0,11137.4,0.16,97.561,915.0,,59.3,231.024
2012-11-30,,7.7,231.249,134834.0,11178.4,0.16,97.9589,833.0,,59.77,231.33
2012-12-31,,7.9,231.221,135075.0,11181.2,0.16,98.2061,976.0,,60.47,231.725
2013-01-31,16441.485,8.0,231.679,135265.0,11245.8,0.14,98.199,888.0,,63.89,232.229
2013-02-28,,7.7,232.937,135544.0,11282.1,0.15,98.6835,962.0,,64.72,232.569
2013-03-31,,7.5,232.282,135689.0,11268.9,0.14,99.0994,1010.0,1569.19,67.26,232.794
2013-04-30,16464.402,7.6,231.797,135876.0,11259.3,0.15,98.9898,835.0,1597.57,68.42,232.832
2013-05-31,,7.5,231.893,136091.0,11295.1,0.11,99.0782,930.0,1630.74,70.0,232.996
2013-06-30,,7.5,232.445,136269.0,11318.5,0.09,99.2141,839.0,1606.28,69.21,233.35
2013-07-31,16594.743,7.3,232.9,136391.0,11346.8,0.09,98.9132,880.0,1685.73,72.94,233.88
2013-08-31,,7.2,233.456,136635.0,11376.9,0.08,99.4891,917.0,1632.97,70.91,234.336
2013-09-30,,7.2,233.544,136819.0,11413.9,0.08,100.0172,850.0,1681.55,73.59,234.7
2013-10-31,16712.76,7.2,233.669,137039.0,11465.2,0.09,99.9038,925.0,1756.54,76.67,234.921
2013-11-30,,6.9,234.1,137314.0,11531.3,0.08,100.1479,1100.0,1805.81,78.84,235.359
2013-12-31,,6.7,234.719,137368.0,11558.6,0.09,100.3576,1002.0,1848.36,81.04,235.759
2014-01-31,16654.247,6.6,235.288,137552.0,11543.7,0.07,99.9828,888.0,1782.59,78.65,235.961
2014-02-28,,6.7,235.547,137707.0,11615.4,0.07,100.7485,944.0,1859.45,82.29,236.185
2014-03-31,,6.7,236.028,137986.0,11695.2,0.08,101.7391,970.0,1872.34,82.61,236.625
2014-04-30,16868.109,6.2,236.468,138298.0,11737.4,0.09,101.8023,1043.0,1883.95,82.55,237.072
2014-05-31,,6.3,236.918,138501.0,11778.6,0.09,102.2116,1007.0,1923.57,84.35,237.529
2014-06-30,,6.1,237.231,138833.0,11838.0,0.1,102.5637,911.0,1960.23,86.61,237.837
2014-07-31,17064.616,6.2,237.498,139076.0,11879.2,0.09,102.8425,1085.0,1930.67,84.84,238.195
2014-08-31,,6.1,237.46,139258.0,11958.8,0.09,102.6499,984.0,2003.37,88.44,238.405
2014-09-30,,5.9,237.477,139563.0,11964.9,0.09,102.9647,1023.0,1972.29,86.59,238.786
2014-10-31,17141.235,5.7,237.43,139805.0,12035.5,0.09,102.9704,1074.0,2018.05,88.77,239.191
2014-11-30,,5.8,236.983,140089.0,12058.4,0.09,103.6017,1001.0,2067.56,90.94,239.458
2014-12-31,,5.6,236.252,140366.0,12067.6,0.12,103.592,1073.0,2058.9,90.82,239.584
2015-01-31,17280.647,5.7,234.747,140562.0,12036.5,0.11,102.798,1085.0,1994.99,88.36,239.811
2015-02-28,,5.5,235.342,140829.0,12083.1,0.11,102.1554,886.0,2104.5,93.39,240.172
2015-03-31,,5.4,235.976,140924.0,12132.2,0.11,101.8077,960.0,2067.89,92.43,240.755
2015-04-30,17380.875,5.4,236.222,141202.0,12170.3,0.12,101.2285,1190.0,2085.51,92.89,241.346
2015-05-31,,5.6,237.001,141540.0,12233.6,0.12,100.7536,1079.0,2107.39,94.04,241.688
2015-06-30,,5.3,237.657,141695.0,12270.3,0.13,100.4529,1205.0,2063.11,92.43,242.064
2015-07-31,17437.08,5.2,238.034,141989.0,12327.5,0.13,101.11,1146.0,2103.84,93.96,242.565
2015-08-31,,5.1,238.033,142130.0,12359.3,0.14,100.8802,1130.0,1972.18,88.32,242.817
2015-09-30,,5.0,237.498,142265.0,12356.4,0.14,100.608,1224.0,1920.03,85.57,243.316
2015-10-31,17462.579,5.0,237.733,142585.0,12362.3,0.12,100.151,1058.0,2079.36,92.18,243.768
