DATE,CPALTT01USM657N,UNRATE,PPIACO,M2SL,CPALTt01USM657N_Forecast,M2SL_Forecast,PPIACO_Forecast,UNRATE_Forecast
2013-01-01,0.295730419292604,8.0,202.5,10479.5,,,,
2013-02-01,0.819002952926876,7.7,204.3,10482.0,,,,
2013-03-01,0.261450858437495,7.5,204.0,10550.0,,,,
2013-04-01,-0.103963947708716,7.6,203.5,10585.9,,,,
2013-05-01,0.178040777358723,7.5,204.1,10628.2,,,,
2013-06-01,0.23997080855995,7.5,204.3,10684.9,,,,
2013-07-01,0.0393997533233011,7.3,204.4,10730.8,,,,
2013-08-01,0.12029315570472,7.2,204.2,10790.2,,,,
2013-09-01,0.116300448526347,7.2,203.9,10841.3,,,,
2013-10-01,-0.257528325980464,7.2,202.5,10956.7,,,,
2013-11-01,-0.204242419052338,6.9,201.2,10969.0,,,,
2013-12-01,-0.008581149788259,6.7,202.0,11028.8,,,,
2014-01-01,0.372024767323605,6.6,203.8,11078.9,,,,
2014-02-01,0.369790865096873,6.7,205.7,11161.0,,,,
2014-03-01,0.644004412622824,6.7,207.0,11200.2,,,,
2014-04-01,0.329675445315773,6.2,208.3,11256.9,,,,
2014-05-01,0.34926098400487,6.3,208.0,11326.3,,,,
2014-06-01,0.186212694409411,6.1,208.3,11380.7,,,,
2014-07-01,-0.0390193964161093,6.2,208.0,11439.9,,,,
2014-08-01,-0.167051416579219,6.1,207.0,11469.4,,,,
2014-09-01,0.0752568824311014,5.9,206.4,11502.8,,,,
2014-10-01,-0.251227781255389,5.7,203.4,11563.4,,,,
2014-11-01,-0.539941794106119,5.8,200.9,11604.7,,,,
2014-12-01,-0.567010091001089,5.6,197.0,11681.5,,,,
2015-01-01,-0.470589237347324,5.7,192.0,11745.2,,,,
2015-02-01,0.434304492377206,5.5,191.1,11863.9,,,,
2015-03-01,0.595172161109732,5.4,191.5,11879.6,,,,
2015-04-01,0.203287325458769,5.4,190.9,11927.4,,,,
2015-05-01,0.509723202549469,5.6,193.4,11960.3,,,,
2015-06-01,0.350286999852812,5.3,194.8,12005.8,,,,
2015-07-01,0.0067047159295661,5.2,193.9,12058.4,,,,
2015-08-01,-0.141627628281935,5.1,191.9,12109.5,,,,
2015-09-01,-0.155675657530359,5.0,189.1,12164.5,,,,
2015-10-01,-0.0449683750446447,5.0,187.5,12196.8,,,,
2015-11-01,-0.211068037908146,5.1,185.7,12286.0,,,,
2015-12-01,-0.341709643711866,5.0,183.5,12344.0,,,,
2016-01-01,0.165310220906868,4.8,182.6,12470.0,,,,
2016-02-01,0.0823076533454985,4.9,181.3,12545.6,,,,
2016-03-01,0.430600014339268,5.0,182.1,12609.7,,,,
2016-04-01,0.4741067979104,5.1,183.2,12698.4,,,,
2016-05-01,0.404579099811517,4.8,185.3,12765.6,,,,
2016-06-01,0.328436616728188,4.9,187.6,12831.9,,,,
2016-07-01,-0.161813640474981,4.8,187.7,12892.0,,,,
2016-08-01,0.0918430107884498,4.9,186.6,12978.2,,,,
2016-09-01,0.240399586462898,5.0,186.9,13037.9,,,,
2016-10-01,0.124674851301432,4.9,186.7,13105.4,,,,
